relativePath,status,raw-egraph,raw-egraph-debruijn,java-egglog,java-egglog-debruijn,slotted-egraph,canonical,typed-slotted-port-egraph
"classroom_fol/correct/u4rGyciYLsrGt3BdS_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/u78FbLqWeqNyzwfdX_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/uXekGetG6pEgBpiB6_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/uZcB4zW25rcJiZZ3s_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/v7LNcKkuFApr2dJac_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/vYdTA43wSyhgKDyyd_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/vwtyLF3xwqowEN4NG_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/wFQgDgNrCoBQurS3P_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/wLeLQ2YcwStoN6icv_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/wdhuCvzJWf4DmbLTM_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/wgCjn8KA2oGdqsvRL_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/wqBNWHamTojLuCcMq_inv3.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/wyKwteKBhNomS6J9q_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/xSkF3e6GdWzGAas6B_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/xif6vgybF2xirG6hB_inv7.als","CORRECT",false,false,false,false,false,true,true
